gvkey,iid,datadate,tic,conm,curcdd,cshtrd,eps,prccd,prchd,prcld,prcod,exchg,fic,conml,gind,gsector,gsubind,ipodate
020004,90,12/02/2019,WB,WEIBO CORP,USD,1191342.0000,2.6100,43.6100,43.9500,42.7700,42.9500,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/03/2019,WB,WEIBO CORP,USD,1064866.0000,2.6100,42.9300,43.0300,41.8800,42.1400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/04/2019,WB,WEIBO CORP,USD,1078806.0000,2.6100,42.8200,43.5000,42.5200,43.0500,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/05/2019,WB,WEIBO CORP,USD,2190404.0000,2.6100,43.8600,44.5100,42.4213,42.7200,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/06/2019,WB,WEIBO CORP,USD,1107695.0000,2.6100,44.1700,44.5000,43.7700,44.2900,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/09/2019,WB,WEIBO CORP,USD,644558.0000,2.6100,43.7700,44.4600,43.6400,44.0100,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/10/2019,WB,WEIBO CORP,USD,1613313.0000,2.6100,42.9000,43.7600,42.6700,43.5200,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/11/2019,WB,WEIBO CORP,USD,1581885.0000,2.6100,42.9100,43.3000,42.7467,43.0000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/12/2019,WB,WEIBO CORP,USD,1152646.0000,2.6100,43.5400,43.9700,42.6000,42.8400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/13/2019,WB,WEIBO CORP,USD,1267461.0000,2.6100,43.5300,44.0900,43.2100,43.9200,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/16/2019,WB,WEIBO CORP,USD,2193860.0000,2.6100,44.9400,45.7393,43.7800,43.9300,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/17/2019,WB,WEIBO CORP,USD,1185722.0000,2.6100,45.3500,46.2400,44.5900,45.2500,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/18/2019,WB,WEIBO CORP,USD,1250782.0000,2.6100,46.1000,46.1500,44.8000,45.2600,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/19/2019,WB,WEIBO CORP,USD,1140068.0000,2.6100,46.2700,46.4100,45.4300,46.1000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/20/2019,WB,WEIBO CORP,USD,1516600.0000,2.6100,46.2500,46.8100,46.0700,46.1800,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/23/2019,WB,WEIBO CORP,USD,1230435.0000,2.6100,47.1200,47.4300,45.8700,46.0400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/24/2019,WB,WEIBO CORP,USD,440166.0000,2.6100,47.2100,47.8700,46.9400,47.3100,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/26/2019,WB,WEIBO CORP,USD,432433.0000,2.6100,47.7700,47.8600,46.9300,47.1700,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/27/2019,WB,WEIBO CORP,USD,598814.0000,2.6100,47.0700,48.1000,46.7000,48.0000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/30/2019,WB,WEIBO CORP,USD,719607.0000,2.6100,46.3400,46.9900,46.2500,46.9900,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,12/31/2019,WB,WEIBO CORP,USD,851836.0000,2.6100,46.3500,47.1800,46.2500,46.3400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/02/2020,WB,WEIBO CORP,USD,2887815.0000,2.6100,51.0600,51.4000,47.6300,48.3000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/03/2020,WB,WEIBO CORP,USD,2216033.0000,2.6100,50.1300,52.2000,49.6100,49.6200,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/06/2020,WB,WEIBO CORP,USD,1765955.0000,2.6100,49.2800,50.0400,48.7300,50.0000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/07/2020,WB,WEIBO CORP,USD,1093388.0000,2.6100,48.9000,49.9400,48.4800,49.8800,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/08/2020,WB,WEIBO CORP,USD,1039896.0000,2.6100,49.0600,49.4900,48.2700,48.3400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/09/2020,WB,WEIBO CORP,USD,1872574.0000,2.6100,47.9700,49.5100,47.6700,49.4200,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/10/2020,WB,WEIBO CORP,USD,2046081.0000,2.6100,46.8600,48.2800,46.5200,47.8800,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/13/2020,WB,WEIBO CORP,USD,4357840.0000,2.6100,51.6900,52.3300,47.6100,47.8000,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/14/2020,WB,WEIBO CORP,USD,2168220.0000,2.6100,50.4100,51.6900,50.1100,51.2100,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/15/2020,WB,WEIBO CORP,USD,1375485.0000,2.6100,50.3700,51.0700,49.5300,50.7300,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/16/2020,WB,WEIBO CORP,USD,3550028.0000,2.6100,48.0000,49.8000,47.8350,49.5100,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
020004,90,01/17/2020,WB,WEIBO CORP,USD,3574379.0000,2.6100,46.7900,48.3200,46.3600,48.2400,14,CYM,Weibo Corp,502030,50,50203010,04/17/2014
