gvkey,iid,datadate,tic,conm,curcdd,cshtrd,eps,prccd,prchd,prcld,prcod,exchg,fic,conml,gind,gsector,gsubind,ipodate
019744,90,03/02/2020,JD,JD.COM INC,USD,45759440.0000,,43.3000,44.1200,40.2501,41.3800,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/03/2020,JD,JD.COM INC,USD,28991330.0000,,41.4600,44.0500,40.1100,43.5600,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/04/2020,JD,JD.COM INC,USD,22125140.0000,,43.9100,44.7600,42.4101,42.4900,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/05/2020,JD,JD.COM INC,USD,24129930.0000,,44.6200,45.3400,42.5500,42.5500,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/06/2020,JD,JD.COM INC,USD,25369240.0000,,42.1600,43.8500,41.2000,43.0000,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/09/2020,JD,JD.COM INC,USD,26189210.0000,,39.9100,41.7950,39.2000,40.1000,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/10/2020,JD,JD.COM INC,USD,21184960.0000,,41.8000,42.5800,40.6050,41.3900,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/11/2020,JD,JD.COM INC,USD,27066580.0000,,41.5300,43.0800,40.4100,40.4100,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/12/2020,JD,JD.COM INC,USD,30728520.0000,,38.2600,39.7900,37.3700,38.8500,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/13/2020,JD,JD.COM INC,USD,22924780.0000,,39.7100,41.2100,37.4400,41.0100,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/16/2020,JD,JD.COM INC,USD,25163730.0000,,35.2400,38.9200,32.7000,36.1000,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/17/2020,JD,JD.COM INC,USD,27803820.0000,,38.3500,39.9800,36.2600,37.6600,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/18/2020,JD,JD.COM INC,USD,23617040.0000,,37.7000,38.3500,35.5500,36.0000,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
019744,90,03/19/2020,JD,JD.COM INC,USD,25817820.0000,,37.2100,38.9000,36.5600,37.5100,14,CYM,JD.com Inc,255020,25,25502020,05/22/2014
